Region,iso3,Country,City,Year,Annual.mean,Temporal coverage,note on converted PM10,"Annual mean, ug/m3",Temporal coverage,note on converted PM2.5,Number and type of monitoring stations,Reference for air quality,Database version (year),status
Western Pacific (HIC),AUS,Australia,Bathurst,2013,15,>75%,Measured,(7)-converted value,NA,Converted,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Bathurst,2014,15,>75%,Measured,(6)-converted value,NA,Converted,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Bathurst,2015,13,>75%,Measured,(6)-converted value,NA,Converted,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Bathurst,2016,13,>75%,Measured,(6)-converted value,NA,Converted,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Brisbane,2015,16,>75%,Measured,6,>75%,Measured,9 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,Brisbane,2016,15,>75%,Measured,7,>75%,Measured,7 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,Bunbury,2010,18,NA,Measured,9,NA,Measured,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Bunbury,2011,17,NA,Measured,8,NA,Measured,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Bunbury,2012,18,NA,Measured,9,NA,Measured,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Bunbury,2013,17,NA,Measured,8,NA,Measured,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Bunbury,2014,16,NA,Measured,8,NA,Measured,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Bunbury,2015,18,NA,Measured,9,NA,Measured,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Bunbury,2016,16,>75%,Measured,8,>75%,Measured,2 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Busselton,2010,(20)-converted value,NA,Converted,8,NA,Measured,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Busselton,2011,(20)-converted value,NA,Converted,8,NA,Measured,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Busselton,2012,(20)-converted value,NA,Converted,9,NA,Measured,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Busselton,2013,(18)-converted value,NA,Converted,8,NA,Measured,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Busselton,2014,(17)-converted value,NA,Converted,7,NA,Measured,1 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
