Region,iso3,Country,City,Year,Annual.mean,Temporal coverage,note on converted PM10,"Annual mean, ug/m3",Temporal coverage,note on converted PM2.5,Number and type of monitoring stations,Reference for air quality,Database version (year),status
Europe (HIC),FRA,France,Gueret,2015,16,>75%,Measured,(11)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Guipry,2013,15,>75%,Measured,10,>75%,Measured,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Guipry,2014,13,>75%,Measured,8,>75%,Measured,2 Rural-Remote-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Guipry,2015,14,>75%,Measured,9,>75%,Measured,2 Rural-Remote-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Guipry,2016,15,>75%,Measured,9,>75%,Measured,2 Rural-Remote-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Hayange,2013,21,>75%,Measured,(14)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Hayange,2014,16,>75%,Measured,(10)-converted value,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Hayange,2015,18,>75%,Measured,(12)-converted value,NA,Converted,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Hayange,2016,16,>75%,Measured,(11)-converted value,NA,Converted,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Heming,2013,24,>75%,Measured,(16)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Heming,2016,21,>75%,Measured,(14)-converted value,NA,Converted,1 Rural-Near_city-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Hornaing,2013,24,>75%,Measured,(16)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Hornaing,2014,20,>75%,Measured,(13)-converted value,NA,Converted,1 Suburban-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Hornaing,2015,22,>75%,Measured,(15)-converted value,NA,Converted,1 Suburban-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Houdelaincourt,2016,13,>75%,Measured,9,>75%,Measured,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Hyeres,2013,26,>75%,Measured,(17)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Hyeres,2014,18,>75%,Measured,(12)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Hyeres,2015,18,>75%,Measured,(12)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Hyeres,2016,18,>75%,Measured,(12)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Ifs,2013,20,>75%,Measured,(13)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Ifs,2014,20,>75%,Measured,(14)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Ifs,2015,22,>75%,Measured,(15)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Ifs,2016,18,>75%,Measured,(12)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Issoire,2014,14,>75%,Measured,(9)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Issoire,2015,13,>75%,Measured,(9)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Issoire,2016,13,>75%,Measured,(9)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Issoudun,2015,(15)-converted value,NA,Converted,10,>75%,Measured,1 Urban-Traffic,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Issoudun,2016,(12)-converted value,NA,Converted,8,>75%,Measured,1 Urban-Traffic,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Jonville-En-Woevre,2013,21,>75%,Measured,16,>75%,Measured,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Jonville-En-Woevre,2014,(21)-converted value,NA,Converted,14,>75%,Measured,1 Rural-Remote-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Jonville-En-Woevre,2015,20,>75%,Measured,13,>75%,Measured,1 Rural-Remote-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Jonville-En-Woevre,2016,16,>75%,Measured,10,>75%,Measured,1 Rural-Remote-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Joue-Les-Tours,2013,(25)-converted value,NA,Converted,17,>75%,Measured,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Joue-Les-Tours,2014,(17)-converted value,NA,Converted,12,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Joue-Les-Tours,2015,(20)-converted value,NA,Converted,13,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Joue-Les-Tours,2016,(18)-converted value,NA,Converted,12,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Kourou,2016,22,>75%,Measured,(15)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,L' Hopital,2013,14,>75%,Measured,(9)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,L'hopital,2014,15,NA,Measured,(9)-converted value,NA,Converted,"1 station, Industrial urban","Minist<U+00E8>re de l'environnement, de l'energie et de la mer",2016,
Europe (HIC),FRA,France,La Calmette,2015,20,>75%,Measured,(13)-converted value,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Calmette,2016,17,>75%,Measured,(11)-converted value,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Coulonche,2013,16,>75%,Measured,13,>75%,Measured,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Coulonche,2014,(12)-converted value,NA,Converted,8,>75%,Measured,1 Rural-Remote-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Coulonche,2015,15,>75%,Measured,8,>75%,Measured,2 Rural-Remote-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Coulonche,2016,14,>75%,Measured,8,>75%,Measured,2 Rural-Remote-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Couronne,2013,22,>75%,Measured,(15)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Couronne,2015,19,>75%,Measured,(13)-converted value,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Couronne,2016,18,>75%,Measured,(12)-converted value,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Lechere,2013,26,>75%,Measured,(17)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Lechere,2014,24,>75%,Measured,(16)-converted value,NA,Converted,1 Rural-Near_city-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Lechere,2015,26,>75%,Measured,(18)-converted value,NA,Converted,1 Rural-Near_city-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Lechere,2016,18,>75%,Measured,(12)-converted value,NA,Converted,1 Rural-Near_city-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Mulatiere,2013,38,>75%,Measured,23,>75%,Measured,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Mulatiere,2014,28,>75%,Measured,17,>75%,Measured,1 Suburban-Traffic,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Mulatiere,2015,33,>75%,Measured,22,>75%,Measured,1 Suburban-Traffic,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Plaine Des Cafres,2013,7,>75%,Measured,(5)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Plaine Des Cafres,2014,6,>75%,Measured,(4)-converted value,NA,Converted,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Plaine Des Cafres,2015,5,>75%,Measured,(3)-converted value,NA,Converted,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Plaine Des Cafres,2016,8,>75%,Measured,(5)-converted value,NA,Converted,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Roche-Sur-Yon,2014,20,>75%,Measured,(13)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Roche-Sur-Yon,2015,21,>75%,Measured,(14)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Roche-Sur-Yon,2016,18,>75%,Measured,(12)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Rochelle,2013,24,>75%,Measured,13,>75%,Measured,3 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Rochelle,2014,20,>75%,Measured,9,>75%,Measured,3 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Rochelle,2015,22,>75%,Measured,10,>75%,Measured,"3 Urban-Background, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Rochelle,2016,18,>75%,Measured,9,>75%,Measured,3 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Talaudiere,2013,20,>75%,Measured,(13)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Talaudiere,2014,17,>75%,Measured,(11)-converted value,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Talaudiere,2015,19,>75%,Measured,(13)-converted value,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Tardiere,2013,(17)-converted value,NA,Converted,11,>75%,Measured,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Tardiere,2014,13,>75%,Measured,9,>75%,Measured,1 Rural-Remote-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Tardiere,2015,16,>75%,Measured,11,>75%,Measured,1 Rural-Remote-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,La Tardiere,2016,14,>75%,Measured,10,>75%,Measured,1 Rural-Remote-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Labastide-Cezeracq,2013,19,>75%,Measured,(12)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Labastide-Cezeracq,2014,17,>75%,Measured,(11)-converted value,NA,Converted,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Labastide-Cezeracq,2015,19,>75%,Measured,(13)-converted value,NA,Converted,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Labastide-Cezeracq,2016,13,>75%,Measured,(8)-converted value,NA,Converted,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Laval,2014,13,>75%,Measured,(9)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Laval,2015,16,>75%,Measured,(11)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Laval,2016,16,>75%,Measured,(11)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Creusot,2014,(16)-converted value,NA,Converted,10,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Creusot,2015,(17)-converted value,NA,Converted,11,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Creusot,2016,(11)-converted value,NA,Converted,8,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Havre,2013,23,>75%,Measured,15,>75%,Measured,4 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Havre,2014,17,>75%,Measured,12,>75%,Measured,"2 Urban-Background, 1 Urban-Industrial, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Havre,2015,20,>75%,Measured,11,>75%,Measured,"3 Urban-Background, 1 Urban-Industrial, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Havre,2016,18,>75%,Measured,12,>75%,Measured,"2 Urban-Background, 1 Urban-Industrial, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Lamentin,2015,34,>75%,Measured,(22)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Lamentin,2016,27,>75%,Measured,(18)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Mans,2013,19,>75%,Measured,14,>75%,Measured,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Mans,2014,17,>75%,Measured,12,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Mans,2015,17,>75%,Measured,13,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Mans,2016,15,>75%,Measured,10,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Palais-Sur-Vienne,2013,14,>75%,Measured,(9)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Palais-Sur-Vienne,2014,12,>75%,Measured,(8)-converted value,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Palais-Sur-Vienne,2015,13,>75%,Measured,(9)-converted value,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Petit-Quevilly,2013,(27)-converted value,NA,Converted,18,>75%,Measured,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Petit-Quevilly,2014,16,>75%,Measured,13,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Petit-Quevilly,2015,20,>75%,Measured,14,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Petit-Quevilly,2016,21,>75%,Measured,(14)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Pontet,2013,26,>75%,Measured,(17)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Pontet,2014,23,>75%,Measured,(15)-converted value,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Pontet,2015,23,>75%,Measured,(15)-converted value,NA,Converted,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Puy-En-Velay,2013,18,>75%,Measured,(12)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Puy-En-Velay,2014,17,>75%,Measured,(11)-converted value,NA,Converted,1 Urban-Traffic,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Puy-En-Velay,2015,15,>75%,Measured,(10)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Puy-En-Velay,2016,12,>75%,Measured,(8)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Robert,2013,33,>75%,Measured,(22)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Robert,2014,26,>75%,Measured,(17)-converted value,NA,Converted,1 Urban-Traffic,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Robert,2015,33,>75%,Measured,(22)-converted value,NA,Converted,1 Urban-Traffic,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Le Tampon,2014,7,NA,Measured,(4)-converted value,NA,Converted,"1 station, Background rural","Minist<U+00E8>re de l'environnement, de l'energie et de la mer",2016,
Europe (HIC),FRA,France,Lens,2013,22,>75%,Measured,(14)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lens,2014,17,>75%,Measured,(11)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lens,2015,19,>75%,Measured,(13)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lens,2016,20,>75%,Measured,(13)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Les Abymes,2014,22,NA,Measured,(14)-converted value,NA,Converted,"1 station, Industrial rural","Minist<U+00E8>re de l'environnement, de l'energie et de la mer",2016,
Europe (HIC),FRA,France,Les Ancizes-Comps,2013,13,>75%,Measured,(8)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Les Ancizes-Comps,2015,13,>75%,Measured,(9)-converted value,NA,Converted,1 Suburban-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Les Ancizes-Comps,2016,11,>75%,Measured,(7)-converted value,NA,Converted,1 Suburban-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Les Mazures,2015,15,>75%,Measured,9,>75%,Measured,1 Rural-Remote-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lille,2013,26,>75%,Measured,19,>75%,Measured,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lille,2014,21,>75%,Measured,15,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lille,2015,22,>75%,Measured,15,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lille,2016,21,>75%,Measured,16,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Limoges,2013,18,>75%,Measured,11,>75%,Measured,2 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Limoges,2014,13,>75%,Measured,9,>75%,Measured,"1 Urban-Background, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Limoges,2015,17,>75%,Measured,10,>75%,Measured,"1 Urban-Background, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Limoges,2016,14,>75%,Measured,9,>75%,Measured,"1 Urban-Background, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lisieux,2013,22,>75%,Measured,(15)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lisieux,2014,18,>75%,Measured,(12)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lisieux,2015,16,>75%,Measured,(11)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lisieux,2016,17,>75%,Measured,(11)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lognes,2013,23,>75%,Measured,(15)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lognes,2014,19,>75%,Measured,(13)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lognes,2015,19,>75%,Measured,(13)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lognes,2016,20,>75%,Measured,(13)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Longlaville,2013,16,>75%,Measured,(10)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lons-Le-Saunier,2013,19,>75%,Measured,16,>75%,Measured,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lons-Le-Saunier,2014,22,>75%,Measured,12,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lons-Le-Saunier,2015,21,>75%,Measured,12,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lons-Le-Saunier,2016,17,>75%,Measured,9,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lorient,2013,20,>75%,Measured,11,>75%,Measured,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lorient,2014,14,>75%,Measured,11,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lorient,2015,18,>75%,Measured,9,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lorient,2016,16,>75%,Measured,10,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lourdes,2013,13,>75%,Measured,10,>75%,Measured,2 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lourdes,2014,(14)-converted value,NA,Converted,10,>75%,Measured,1 Urban-Traffic,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lourdes,2015,16,>75%,Measured,9,>75%,Measured,"1 Urban-Background, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lourdes,2016,15,>75%,Measured,9,>75%,Measured,"1 Urban-Background, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lucciana,2013,19,>75%,Measured,(13)-converted value,NA,Converted,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lucciana,2015,18,>75%,Measured,(12)-converted value,NA,Converted,1 Rural-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Lucciana,2016,17,>75%,Measured,(12)-converted value,NA,Converted,1 Rural-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Luce,2013,21,>75%,Measured,15,>75%,Measured,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Luce,2014,16,>75%,Measured,10,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),FRA,France,Luce,2015,17,>75%,Measured,10,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
